Country Name,Country Code,Region
Afganistán,AFG,Asia meridional
África al sur del Sahara,SSF,
Albania,ALB,Europa y Asia central (excluido altos ingresos)
Alemania,DEU,Europa
Andorra,AND,
Angola,AGO,África al sur del Sahara (excluido altos ingresos)
Antigua y Barbuda,ATG,
Arabia Saudita,SAU,
Argelia,DZA,Oriente Medio y Norte de África (excluido altos ingresos)
Argentina,ARG,América Latina y el Caribe (excluido altos ingresos)
Armenia,ARM,Europa y Asia central (excluido altos ingresos)
Aruba,ABW,
Australia,AUS,
Austria,AUT,
Azerbaiyán,AZE,Europa y Asia central (excluido altos ingresos)
Bahamas,BHS,
Bahrein,BHR,
Bangladesh,BGD,Asia meridional
Barbados,BRB,
Belarús,BLR,Europa y Asia central (excluido altos ingresos)
Bélgica,BEL,
Belice,BLZ,América Latina y el Caribe (excluido altos ingresos)
Benin,BEN,África al sur del Sahara (excluido altos ingresos)
Bermudas,BMU,
Bhután,BTN,Asia meridional
Bolivia,BOL,América Latina y el Caribe (excluido altos ingresos)
Bosnia y Herzegovina,BIH,Europa y Asia central (excluido altos ingresos)
Botswana,BWA,África al sur del Sahara (excluido altos ingresos)
Brasil,BRA,América Latina y el Caribe (excluido altos ingresos)
Brunei Darussalam,BRN,
Bulgaria,BGR,Europa y Asia central (excluido altos ingresos)
Burkina Faso,BFA,África al sur del Sahara (excluido altos ingresos)
Burundi,BDI,África al sur del Sahara (excluido altos ingresos)
Cabo Verde,CPV,África al sur del Sahara (excluido altos ingresos)
Camboya,KHM,Asia oriental y el Pacífico (excluido altos ingresos)
Camerún,CMR,África al sur del Sahara (excluido altos ingresos)
Canadá,CAN,
Chad,TCD,África al sur del Sahara (excluido altos ingresos)
Chile,CHL,América Latina y el Caribe (excluido altos ingresos)
China,CHN,Asia oriental y el Pacífico (excluido altos ingresos)
Chipre,CYP,
Colombia,COL,América Latina y el Caribe (excluido altos ingresos)
Comoras,COM,África al sur del Sahara (excluido altos ingresos)
"Congo, República del",COG,África al sur del Sahara (excluido altos ingresos)
"Congo, República Democrática del",COD,África al sur del Sahara (excluido altos ingresos)
"Corea, República de",KOR,
"Corea, República Popular Democrática de",PRK,Asia oriental y el Pacífico (excluido altos ingresos)
Costa Rica,CRI,América Latina y el Caribe (excluido altos ingresos)
Côte d'Ivoire,CIV,África al sur del Sahara (excluido altos ingresos)
Croacia,HRV,
Cuba,CUB,América Latina y el Caribe (excluido altos ingresos)
Curacao,CUW,
Dinamarca,DNK,
Djibouti,DJI,Oriente Medio y Norte de África (excluido altos ingresos)
Dominica,DMA,América Latina y el Caribe (excluido altos ingresos)
Ecuador,ECU,América Latina y el Caribe (excluido altos ingresos)
"Egipto, República Árabe de",EGY,Oriente Medio y Norte de África (excluido altos ingresos)
El Salvador,SLV,América Latina y el Caribe (excluido altos ingresos)
Emiratos Árabes Unidos,ARE,
Eritrea,ERI,África al sur del Sahara (excluido altos ingresos)
Eslovenia,SVN,
España,ESP,Europa
Estados Unidos,USA,
Estonia,EST,
Eswatini,SWZ,África al sur del Sahara (excluido altos ingresos)
Etiopía,ETH,África al sur del Sahara (excluido altos ingresos)
Fiji,FJI,Asia oriental y el Pacífico (excluido altos ingresos)
Filipinas,PHL,Asia oriental y el Pacífico (excluido altos ingresos)
Finlandia,FIN,
Francia,FRA,Europa
Gabón,GAB,África al sur del Sahara (excluido altos ingresos)
Gambia,GMB,África al sur del Sahara (excluido altos ingresos)
Georgia,GEO,Europa y Asia central (excluido altos ingresos)
Ghana,GHA,África al sur del Sahara (excluido altos ingresos)
Gibraltar,GIB,
Granada,GRD,América Latina y el Caribe (excluido altos ingresos)
Grecia,GRC,Europa
Groenlandia,GRL,
Guam,GUM,
Guatemala,GTM,América Latina y el Caribe (excluido altos ingresos)
Guinea,GIN,África al sur del Sahara (excluido altos ingresos)
Guinea Ecuatorial,GNQ,África al sur del Sahara (excluido altos ingresos)
